source,target,relationship_type,weight,source_label,target_label,entries
74234-0002,74234-0330,godparent,1,Roza,Domingos Dias,74234-0003-01
74234-0002,74234-0003,parent,1,Roza,Manuel Martins Machado,74234-0003-01
74234-0002,74234-0004,parent,1,Roza,Maria Jacinta,74234-0003-01
74234-0002,74234-0005,grandparent,1,Roza,Francisco Martins Machado,74234-0003-01
74234-0002,74234-0006,grandparent,1,Roza,Catarina Bernarda,74234-0003-01
74234-0002,74234-0007,grandparent,1,Roza,José Ferreira da Ponte,74234-0003-01
74234-0002,74234-0008,grandparent,1,Roza,Catarina da Anunciada,74234-0003-01
74234-0003,74234-0004,spouse,1,Manuel Martins Machado,Maria Jacinta,74234-0003-01
74234-0003,74234-0002,child,1,Manuel Martins Machado,Roza,74234-0003-01
74234-0004,74234-0003,spouse,1,Maria Jacinta,Manuel Martins Machado,74234-0003-01
74234-0004,74234-0002,child,1,Maria Jacinta,Roza,74234-0003-01
74234-0005,74234-0006,spouse,1,Francisco Martins Machado,Catarina Bernarda,74234-0003-01
74234-0005,74234-0002,grandchild,1,Francisco Martins Machado,Roza,74234-0003-01
74234-0006,74234-0005,spouse,1,Catarina Bernarda,Francisco Martins Machado,74234-0003-01
74234-0006,74234-0002,grandchild,1,Catarina Bernarda,Roza,74234-0003-01
74234-0007,74234-0008,spouse,1,José Ferreira da Ponte,Catarina da Anunciada,74234-0003-01
74234-0007,74234-0002,grandchild,1,José Ferreira da Ponte,Roza,74234-0003-01
74234-0008,74234-0007,spouse,1,Catarina da Anunciada,José Ferreira da Ponte,74234-0003-01
74234-0008,74234-0002,grandchild,1,Catarina da Anunciada,Roza,74234-0003-01
74234-0330,74234-0002,godchild,1,Domingos Dias,Roza,74234-0003-01
74234-0009,74234-0016,godparent,1,Maria,António Pereira de Barros,74234-0003-02
74234-0009,74234-0017,godparent,1,Maria,Maria Gomes,74234-0003-02
74234-0009,74234-0010,parent,1,Maria,José Pereira Álvares,74234-0003-02
74234-0009,74234-0011,parent,1,Maria,Ana Maria Barbalha,74234-0003-02
74234-0009,74234-0012,grandparent,1,Maria,Domingos Tomás Ferreira,74234-0003-02
74234-0009,74234-0013,grandparent,1,Maria,Maria Pereira Álvares,74234-0003-02
74234-0009,74234-0014,grandparent,1,Maria,José Dias dos Santos,74234-0003-02
74234-0009,74234-0015,grandparent,1,Maria,Maria do Bom Sucesso,74234-0003-02
74234-0010,74234-0011,spouse,1,José Pereira Álvares,Ana Maria Barbalha,74234-0003-02
74234-0010,74234-0009,child,1,José Pereira Álvares,Maria,74234-0003-02
74234-0011,74234-0010,spouse,1,Ana Maria Barbalha,José Pereira Álvares,74234-0003-02
74234-0011,74234-0009,child,1,Ana Maria Barbalha,Maria,74234-0003-02
74234-0012,74234-0013,spouse,1,Domingos Tomás Ferreira,Maria Pereira Álvares,74234-0003-02
74234-0012,74234-0009,grandchild,1,Domingos Tomás Ferreira,Maria,74234-0003-02
74234-0013,74234-0012,spouse,1,Maria Pereira Álvares,Domingos Tomás Ferreira,74234-0003-02
74234-0013,74234-0009,grandchild,1,Maria Pereira Álvares,Maria,74234-0003-02
74234-0014,74234-0015,spouse,1,José Dias dos Santos,Maria do Bom Sucesso,74234-0003-02
74234-0014,74234-0009,grandchild,1,José Dias dos Santos,Maria,74234-0003-02
74234-0015,74234-0014,spouse,1,Maria do Bom Sucesso,José Dias dos Santos,74234-0003-02
74234-0015,74234-0009,grandchild,1,Maria do Bom Sucesso,Maria,74234-0003-02
74234-0016,74234-0009,godchild,1,António Pereira de Barros,Maria,74234-0003-02
74234-0017,74234-0009,godchild,1,Maria Gomes,Maria,74234-0003-02
74234-0019,74234-0021,godparent,1,José,Eugénia,74234-0003-03
74234-0019,74234-0020,godparent,1,José,João Gonçalves dos Santos,74234-0003-03
74234-0020,74234-0019,godchild,1,João Gonçalves dos Santos,José,74234-0003-03
74234-0021,74234-0022,godparent,1,Eugénia,Gabriel Francisco,74234-0003-03
74234-0021,74234-0019,godchild,1,Eugénia,José,74234-0003-03
74234-0021,74234-0084,parent,1,Eugénia,Anna Joaquina,74234-0003-03
74234-0084,74234-0023,spouse,1,Anna Joaquina,Francisco Gomes dos Santos,74234-0003-03
74234-0084,74234-0021,child,1,Anna Joaquina,Eugénia,74234-0003-03
74234-0022,74234-0021,godchild,1,Gabriel Francisco,Eugénia,74234-0003-03
74234-0023,74234-0084,spouse,1,Francisco Gomes dos Santos,Anna Joaquina,74234-0003-03
74234-0024,74234-0031,godparent,1,Manuel,Manuel Raposo de Vasconcelos,74234-0004-01
74234-0024,74234-0025,parent,1,Manuel,Francisco de Frias Vasconcelos,74234-0004-01
74234-0024,74234-0026,parent,1,Manuel,Ana Maria do Amaral,74234-0004-01
74234-0024,74234-0027,grandparent,1,Manuel,Miguel de Frias Nascimento,74234-0004-01
74234-0024,74234-0028,grandparent,1,Manuel,Antónia do Rio,74234-0004-01
74234-0024,74234-0029,grandparent,1,Manuel,João Dias,74234-0004-01
74234-0024,74234-0030,grandparent,1,Manuel,Quitéria Maria da Assunção,74234-0004-01
74234-0025,74234-0026,spouse,1,Francisco de Frias Vasconcelos,Ana Maria do Amaral,74234-0004-01
74234-0025,74234-0024,child,1,Francisco de Frias Vasconcelos,Manuel,74234-0004-01
74234-0026,74234-0025,spouse,1,Ana Maria do Amaral,Francisco de Frias Vasconcelos,74234-0004-01
74234-0026,74234-0024,child,1,Ana Maria do Amaral,Manuel,74234-0004-01
74234-0026,74234-0030,child,1,Ana Maria do Amaral,Quitéria Maria da Assunção,74234-0004-01
74234-0027,74234-0028,spouse,1,Miguel de Frias Nascimento,Antónia do Rio,74234-0004-01
74234-0027,74234-0024,grandchild,1,Miguel de Frias Nascimento,Manuel,74234-0004-01
74234-0028,74234-0027,spouse,1,Antónia do Rio,Miguel de Frias Nascimento,74234-0004-01
74234-0028,74234-0024,grandchild,1,Antónia do Rio,Manuel,74234-0004-01
74234-0029,74234-0030,spouse,1,João Dias,Quitéria Maria da Assunção,74234-0004-01
74234-0029,74234-0024,grandchild,1,João Dias,Manuel,74234-0004-01
74234-0030,74234-0029,spouse,1,Quitéria Maria da Assunção,João Dias,74234-0004-01
74234-0030,74234-0026,parent,1,Quitéria Maria da Assunção,Ana Maria do Amaral,74234-0004-01
74234-0030,74234-0024,grandchild,1,Quitéria Maria da Assunção,Manuel,74234-0004-01
74234-0031,74234-0024,godchild,1,Manuel Raposo de Vasconcelos,Manuel,74234-0004-01
74234-0032,74234-0039,godparent,1,Bernardo,Jerónimo José Vicente,74234-0004-01
74234-0032,74234-0040,godparent,1,Bernardo,Antónia Teresa da Conceição,74234-0004-01
74234-0032,74234-0033,parent,1,Bernardo,Bernardo Lisbonca Coelho,74234-0004-01
74234-0032,74234-0034,parent,1,Bernardo,Clara Rangel de Azeredo,74234-0004-01
74234-0032,74234-0035,grandparent,1,Bernardo,Bernardo da Fonseca Coelho,74234-0004-01
74234-0032,74234-0036,grandparent,1,Bernardo,Escolástica Maria de Lisbonca,74234-0004-01
74234-0032,74234-0037,grandparent,1,Bernardo,José Leal dos Reis,74234-0004-01
74234-0032,74234-0038,grandparent,1,Bernardo,Maria Rangel,74234-0004-01
74234-0033,74234-0034,spouse,1,Bernardo Lisbonca Coelho,Clara Rangel de Azeredo,74234-0004-01
74234-0033,74234-0032,child,1,Bernardo Lisbonca Coelho,Bernardo,74234-0004-01
74234-0034,74234-0033,spouse,1,Clara Rangel de Azeredo,Bernardo Lisbonca Coelho,74234-0004-01
74234-0034,74234-0032,child,1,Clara Rangel de Azeredo,Bernardo,74234-0004-01
74234-0035,74234-0036,spouse,1,Bernardo da Fonseca Coelho,Escolástica Maria de Lisbonca,74234-0004-01
74234-0035,74234-0032,grandchild,1,Bernardo da Fonseca Coelho,Bernardo,74234-0004-01
74234-0036,74234-0035,spouse,1,Escolástica Maria de Lisbonca,Bernardo da Fonseca Coelho,74234-0004-01
74234-0036,74234-0032,grandchild,1,Escolástica Maria de Lisbonca,Bernardo,74234-0004-01
74234-0037,74234-0038,spouse,1,José Leal dos Reis,Maria Rangel,74234-0004-01
74234-0037,74234-0032,grandchild,1,José Leal dos Reis,Bernardo,74234-0004-01
74234-0038,74234-0037,spouse,1,Maria Rangel,José Leal dos Reis,74234-0004-01
74234-0038,74234-0032,grandchild,1,Maria Rangel,Bernardo,74234-0004-01
74234-0039,74234-0032,godchild,1,Jerónimo José Vicente,Bernardo,74234-0004-01
74234-0040,74234-0032,godchild,1,Antónia Teresa da Conceição,Bernardo,74234-0004-01
74234-0041,74234-0046,godparent,1,Jerónimo,Manuel Cordeiro da Fonseca,74234-0004-02
74234-0041,74234-0042,parent,1,Jerónimo,José Morais,74234-0004-02
74234-0041,74234-0043,parent,1,Jerónimo,Antónia Maria Pimentel,74234-0004-02
74234-0041,74234-0044,grandparent,1,Jerónimo,Tomé Morais,74234-0004-02
74234-0041,74234-0045,grandparent,1,Jerónimo,Maria Frias,74234-0004-02
74234-0042,74234-0043,spouse,1,José Morais,Antónia Maria Pimentel,74234-0004-02
74234-0042,74234-0041,child,1,José Morais,Jerónimo,74234-0004-02
74234-0043,74234-0042,spouse,1,Antónia Maria Pimentel,José Morais,74234-0004-02
74234-0043,74234-0041,child,1,Antónia Maria Pimentel,Jerónimo,74234-0004-02
74234-0044,74234-0041,grandchild,1,Tomé Morais,Jerónimo,74234-0004-02
74234-0045,74234-0041,grandchild,1,Maria Frias,Jerónimo,74234-0004-02
74234-0046,74234-0041,godchild,1,Manuel Cordeiro da Fonseca,Jerónimo,74234-0004-02
74234-0047,74234-0053,godparent,1,João,João Gonçalves da Silva,74234-0004-02
74234-0047,74234-0048,parent,1,João,Francisco de Lemos Maciel,74234-0004-02
74234-0047,74234-0049,parent,1,João,Maria Soares de Borba,74234-0004-02
74234-0047,74234-0050,grandparent,1,João,Manuel de Lemos Maciel,74234-0004-02
74234-0047,74234-0051,grandparent,1,João,Inácio Soares,74234-0004-02
74234-0047,74234-0052,grandparent,1,João,Luzia da Trindade,74234-0004-02
74234-0048,74234-0049,spouse,1,Francisco de Lemos Maciel,Maria Soares de Borba,74234-0004-02
74234-0048,74234-0047,child,1,Francisco de Lemos Maciel,João,74234-0004-02
74234-0049,74234-0048,spouse,1,Maria Soares de Borba,Francisco de Lemos Maciel,74234-0004-02
74234-0049,74234-0047,child,1,Maria Soares de Borba,João,74234-0004-02
74234-0050,74234-0047,grandchild,1,Manuel de Lemos Maciel,João,74234-0004-02
74234-0051,74234-0052,spouse,1,Inácio Soares,Luzia da Trindade,74234-0004-02
74234-0051,74234-0047,grandchild,1,Inácio Soares,João,74234-0004-02
74234-0052,74234-0051,spouse,1,Luzia da Trindade,Inácio Soares,74234-0004-02
74234-0052,74234-0047,grandchild,1,Luzia da Trindade,João,74234-0004-02
74234-0053,74234-0047,godchild,1,João Gonçalves da Silva,João,74234-0004-02
74234-0054,74234-0055,custodian,1,Mamerto,José Francisco de Medeiros,74234-0005-01
74234-0054,74234-0056,godparent,1,Mamerto,Manuel José Francisco,74234-0005-01
74234-0054,74234-0278,godparent,1,Mamerto,Anna Maria Rosa,74234-0005-01
74234-0055,74234-0054,ward,1,José Francisco de Medeiros,Mamerto,74234-0005-01
74234-0056,74234-0278,spouse,1,Manuel José Francisco,Anna Maria Rosa,74234-0005-01
74234-0056,74234-0054,godchild,1,Manuel José Francisco,Mamerto,74234-0005-01
